First Name,Last Name,Date Of Birth,Identification Number,Address,Phone Number,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Updated Balance,Savings Updated Balance,Credit Updated Balance
Simba,King,"December 15, 1983",24,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,King*Simba!987,1023,2023,3023,1291.34,756.92,-782.42,
Daniel,N,"April 11, 1942",91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,N*Daniel!987,1090,2090,3090,1016.8,2149.51,-716.7,
Chip,Disney,"October 28, 1965",6,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Chip!987,1005,2005,3005,1137.71,4882.06,-1526.55,
Jose,Rodriguez Ortega,"March 6, 1989",59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,Rodriguez Ortega*Jose!987,1058,2058,3058,382.42,1369.33,-1946.74,
Daniel,H,"July 11, 1982",86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,H*Daniel!987,1085,2085,3085,1615.38,2505.64,-366.29,
David,Baptiste,"June 9, 1946",48,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,Baptiste*David!987,1047,2047,3047,1517.41,2516.98,-1982.26,
Dafne,Bencomo,"April 6, 1984",47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,Bencomo*Dafne!987,1046,2046,3046,1968.81,3443.4,-282.9,
Joseph,Medina - Sandoval,"August 27, 1955",60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,Medina - Sandoval*Joseph!987,1059,2059,3059,725.73,1400.78,-38.33,
Daniel,Q,"October 1, 2001",94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,Q*Daniel!987,1093,2093,3093,1427.95,2453.7,-731.09,
Daniel,V,"July 27, 1944",99,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,V*Daniel!987,1098,2098,3098,841.92,3651.41,-1721.86,
Buzz,Lightyear,"January 25, 1931",17,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Lightyear*Buzz!987,1016,2016,3016,1732.99,3682.66,-1205.03,
Scar,Lion,"December 20, 1957",23,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Lion*Scar!987,1022,2022,3022,1928.48,481.37,-1140.91,
Lilo,Disney,"August 22, 2013",35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Lilo!987,1034,2034,3034,1448.11,2510.13,-1737.07,
Estevan,Ramos,"October 18, 1969",52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,Ramos*Estevan!987,1051,2051,3051,768.89,7.97,-1728.89,
Mulan,Disney,"October 1, 1970",34,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Mulan!987,1033,2033,3033,823.82,254.44,-197.46,
Juan,Gutierrez,"September 3, 1971",61,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,Gutierrez*Juan!987,1060,2060,3060,1296.11,3349.49,-1561.53,
Judith,Garcia,"June 21, 1971",63,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,Garcia*Judith!987,1062,2062,3062,610.64,1412.89,-764.0,
Simba,Disney,"September 13, 1987",12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Simba!987,1011,2011,3011,1540.26,4728.96,-1912.0,
Jasmine,Disney,"August 12, 1987",10,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Jasmine!987,1009,2009,3009,1371.09,2621.87,-1163.2,
Cinderella,Disney,"April 24, 2019",8,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Cinderella!987,1007,2007,3007,923.35,4401.91,-626.65,
Isaiah,Landin,"May 21, 2009",58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,Landin*Isaiah!987,1057,2057,3057,393.56,2289.13,-648.02,
Pluto,Disney,"June 10, 1993",5,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Pluto!987,1004,2004,3004,370.62,4140.15,-313.08,
Manuel,Ruvalcaba,"December 25, 1993",68,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,Ruvalcaba*Manuel!987,1067,2067,3067,680.64,2131.08,-314.17,
Daniel,X,"June 29, 2003",101,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,X*Daniel!987,1100,2100,3100,1244.07,534.43,-506.23,
Daniel,E,"February 23, 1991",83,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,E*Daniel!987,1082,2082,3082,818.28,2738.27,-1854.01,
Gildardo,Orea,"September 17, 2017",55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,Orea*Gildardo!987,1054,2054,3054,998.21,3656.15,-1651.12,
Alfredo,Rodriguez,"May 13, 1965",40,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,Rodriguez*Alfredo!987,1039,2039,3039,1799.85,3080.82,-519.11,
Daniel,F,"March 13, 2005",84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,F*Daniel!987,1083,2083,3083,599.65,2848.19,-453.44,
Shere,Khan,"June 21, 1997",26,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Khan*Shere!987,1025,2025,3025,1901.78,4054.58,-241.58,
Christopher,Reyes,"August 21, 1993",46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,Reyes*Christopher!987,1045,2045,3045,726.32,597.8,-1926.88,
Brandon,Bustamante,"July 5, 2006",44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,Bustamante*Brandon!987,1043,2043,3043,1626.2,364.38,-1999.64,
Oscar,Decena,"July 23, 1928",71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,Decena*Oscar!987,1070,2070,3070,255.25,1436.44,-1522.57,
Juan,Rabelo,"February 5, 1944",62,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,Rabelo*Juan!987,1061,2061,3061,1296.87,1657.81,-1936.56,
Goofy,Disney,"December 8, 1968",4,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Goofy!987,1003,2003,3003,1765.58,4018.17,-208.05,
Daniel,O,"November 6, 1979",92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,O*Daniel!987,1091,2091,3091,140.53,1335.0,-602.69,
Ervey,Montes,"September 23, 1956",51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,Montes*Ervey!987,1050,2050,3050,265.1,3838.72,-430.1,
Roberto,Carrasco,"September 15, 1940",73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,Carrasco*Roberto!987,1072,2072,3072,141.08,1423.99,-1101.52,
Belle,Disney,"July 5, 1943",21,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Belle!987,1020,2020,3020,581.63,1417.08,-1608.53,
Alex,Avila,"January 15, 2010",38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,Avila*Alex!987,1037,2037,3037,1471.94,4690.72,-1811.46,
Gaston,Disney,"May 12, 1953",25,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Gaston!987,1024,2024,3024,1327.54,4406.12,-936.19,
Derek,Aguirre,"September 3, 1962",49,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,Aguirre*Derek!987,1048,2048,3048,621.64,317.0,-381.67,
Ariel,Disney,"August 6, 1946",9,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Ariel!987,1008,2008,3008,320.83,3156.59,-1307.98,
Daniel,U,"September 23, 1986",98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,U*Daniel!987,1097,2097,3097,1875.61,284.66,-1963.67,
Daniel,R,"July 14, 1958",95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,R*Daniel!987,1094,2094,3094,46.94,3708.68,-1805.86,
Daniel,Y,"November 29, 1958",102,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,Y*Daniel!987,1101,2101,3101,1724.81,3906.71,-1945.53,
Mickey,Mouse,"July 21, 1941",1,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Mouse*Mickey!987,1000,2000,3000,2934.17,4020.92,-1132.03,
Gavin,Baechle,"September 2, 1971",54,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,Baechle*Gavin!987,1053,2053,3053,1143.11,92.26,-157.78,
Alfonso,Beltran,"August 4, 1967",39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,Beltran*Alfonso!987,1038,2038,3038,1068.87,3888.01,-80.83,
Arae,Zarzosa,"May 3, 1975",43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,Zarzosa*Arae!987,1042,2042,3042,306.36,2663.39,-11.67,
Daniel,C,"April 17, 1997",81,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,C*Daniel!987,1080,2080,3080,250.05,557.56,-1910.77,
Pinocchio,Disney,"April 2, 1983",30,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Pinocchio!987,1029,2029,3029,521.46,2450.4,-1643.23,
Daniel,W,"February 4, 1989",100,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,W*Daniel!987,1099,2099,3099,479.43,3165.21,-1249.36,
Alberto,Miranda,"November 17, 1930",37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,Miranda*Alberto!987,1036,2036,3036,328.97,4344.77,-589.8,
Quasimodo,Disney,"August 16, 1944",32,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Quasimodo!987,1031,2031,3031,1455.23,4389.41,-755.12,
Sleepy,Joe,11/20/1942,104,WashingtonDC,(202)456-1111,Joe*Sleepy!987,1103,2103,-1,2015.0,2035.0,1.0,
