First Name,Last Name,Date Of Birth,Identification Number,Address,Phone Number,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Updated Balance,Savings Updated Balance,Credit Updated Balance
Laura,Blanco,"July 12, 2002",64,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,Blanco*Laura!987,1063,2063,3063,4061.3,3320.44,-1855.39,
Yulianna,Torres,"April 28, 1931",75,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,Torres*Yulianna!987,1074,2074,3074,4433.45,1408.53,-1488.6,
Cruella,De Vil,"December 1, 1969",22,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,De Vil*Cruella!987,1021,2021,3021,1003.48,3412.32,-1126.21,
Beast,Disney,"April 13, 1940",20,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Beast!987,1019,2019,3019,1603.33,4477.4,-415.35,
Stitch,Disney,"January 27, 2006",36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Stitch!987,1035,2035,3035,1655.14,4674.94,-70.22,
Simba,King,"July 2, 1955",24,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,King*Simba!987,1023,2023,3023,1283.3,4909.17,-745.46,
Daniel,N,"October 11, 1985",91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5054,N*Daniel!987,1090,2090,3090,934.78,46.5,-430.92,
Chip,Disney,"May 31, 1991",6,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Chip!987,1005,2005,3005,309.85,4765.72,-1492.6,
Jose,Rodriguez Ortega,"January 8, 1976",59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5022,Rodriguez Ortega*Jose!987,1058,2058,3058,5569.99,2613.96,-395.54,
Daniel,H,"November 23, 1983",86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,H*Daniel!987,1085,2085,3085,631.44,1350.97,-1452.33,
David,Baptiste,"January 28, 2012",48,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,Baptiste*David!987,1047,2047,3047,4177.56,2172.75,-170.16,
Dafne,Bencomo,"April 14, 2006",47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,Bencomo*Dafne!987,1046,2046,3046,5793.3,4605.41,-1635.14,
Joseph,Medina - Sandoval,"September 14, 1939",60,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,Medina - Sandoval*Joseph!987,1059,2059,3059,5531.16,238.05,-34.75,
Daniel,Q,"November 10, 1963",94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,Q*Daniel!987,1093,2093,3093,1410.88,1409.1,-1948.78,
Daniel,V,"November 30, 1936",99,"500 W. University Ave, El Paso, TX 79968",(915) 747-5062,V*Daniel!987,1098,2098,3098,1523.98,880.85,-985.38,
Buzz,Lightyear,"March 30, 1936",17,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Lightyear*Buzz!987,1016,2016,3016,934.58,2391.47,-76.32,
Scar,Lion,"February 21, 1986",23,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Lion*Scar!987,1022,2022,3022,1884.73,3750.18,-346.6,
Lilo,Disney,"November 29, 1973",35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Lilo!987,1034,2034,3034,1279.22,165.81,-1662.06,
Estevan,Ramos,"April 19, 2008",52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5015,Ramos*Estevan!987,1051,2051,3051,5075.77,2408.37,-1000.93,
Mulan,Disney,"December 10, 1964",34,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Mulan!987,1033,2033,3033,508.85,1239.74,-1608.84,
Juan,Gutierrez,"August 13, 1955",61,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,Gutierrez*Juan!987,1060,2060,3060,5460.26,378.24,-482.98,
Judith,Garcia,"June 5, 1929",63,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,Garcia*Judith!987,1062,2062,3062,4406.32,1663.42,-130.6,
Simba,Disney,"May 11, 1971",12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Simba!987,1011,2011,3011,1156.12,2369.88,-332.46,
Jasmine,Disney,"January 29, 1961",10,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Jasmine!987,1009,2009,3009,549.42,1044.89,-1494.13,
Cinderella,Disney,"August 11, 1999",8,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Cinderella!987,1007,2007,3007,1449.52,4414.21,-1921.81,
Isaiah,Landin,"July 2, 1936",58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,Landin*Isaiah!987,1057,2057,3057,5813.41,1337.82,-1920.67,
Pluto,Disney,"February 14, 1962",5,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Pluto!987,1004,2004,3004,1907.99,671.5,-1244.77,
Manuel,Ruvalcaba,"June 7, 1948",68,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,Ruvalcaba*Manuel!987,1067,2067,3067,5758.07,1201.74,-610.95,
Daniel,X,"August 16, 1951",101,"500 W. University Ave, El Paso, TX 79968",(915) 747-5064,X*Daniel!987,1100,2100,3100,705.77,2155.03,-1356.79,
Daniel,E,"September 12, 2005",83,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,E*Daniel!987,1082,2082,3082,1389.55,2672.62,-1008.78,
Gildardo,Orea,"April 11, 2011",55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5018,Orea*Gildardo!987,1054,2054,3054,4630.18,4643.1,-727.8,
Alfredo,Rodriguez,"December 19, 1941",40,"500 W. University Ave, El Paso, TX 79968",(915) 747-5003,Rodriguez*Alfredo!987,1039,2039,3039,4224.11,3749.19,-107.79,
Daniel,F,"July 17, 1969",84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,F*Daniel!987,1083,2083,3083,642.22,3157.65,-335.3,
Shere,Khan,"February 12, 1968",26,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Khan*Shere!987,1025,2025,3025,1500.31,1063.89,-36.73,
Christopher,Reyes,"March 1, 1935",46,"500 W. University Ave, El Paso, TX 79968",(915) 747-5009,Reyes*Christopher!987,1045,2045,3045,4504.35,2537.18,-1444.25,
Brandon,Bustamante,"January 25, 1976",44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,Bustamante*Brandon!987,1043,2043,3043,5795.84,1280.27,-1917.73,
Oscar,Decena,"December 8, 2000",71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,Decena*Oscar!987,1070,2070,3070,4048.28,2283.65,-1691.48,
Juan,Rabelo,"February 11, 1932",62,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,Rabelo*Juan!987,1061,2061,3061,5608.37,2557.62,-869.24,
Goofy,Disney,"November 8, 1942",4,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Goofy!987,1003,2003,3003,1237.62,4139.35,-1113.72,
Daniel,O,"November 23, 1964",92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5055,O*Daniel!987,1091,2091,3091,450.69,1340.01,-1643.71,
Ervey,Montes,"September 2, 1954",51,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,Montes*Ervey!987,1050,2050,3050,4159.91,734.34,-492.33,
Roberto,Carrasco,"March 1, 1941",73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,Carrasco*Roberto!987,1072,2072,3072,5047.3,334.38,-1270.87,
Belle,Disney,"July 25, 2018",21,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Belle!987,1020,2020,3020,1541.71,1062.77,-25.98,
Alex,Avila,"November 9, 1977",38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,Avila*Alex!987,1037,2037,3037,5653.15,1260.59,-84.16,
Gaston,Disney,"January 20, 1928",25,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Gaston!987,1024,2024,3024,1890.74,3544.03,-715.12,
Derek,Aguirre,"October 3, 2002",49,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,Aguirre*Derek!987,1048,2048,3048,4456.1,2698.03,-289.25,
Ariel,Disney,"January 27, 2017",9,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Ariel!987,1008,2008,3008,1825.83,1559.65,-29.68,
Daniel,U,"April 30, 1995",98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5061,U*Daniel!987,1097,2097,3097,1994.43,2413.41,-1465.75,
Daniel,R,"August 24, 1940",95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5058,R*Daniel!987,1094,2094,3094,1576.71,3974.81,-1628.73,
Daniel,Y,"February 5, 1971",102,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,Y*Daniel!987,1101,2101,3101,1837.23,940.67,-629.01,
Mickey,Mouse,"October 8, 1971",1,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Mouse*Mickey!987,1000,2000,3000,1665.48,4424.91,-1201.49,
Gavin,Baechle,"March 29, 1971",54,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,Baechle*Gavin!987,1053,2053,3053,4373.72,4232.8,-85.83,
Alfonso,Beltran,"December 15, 1996",39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,Beltran*Alfonso!987,1038,2038,3038,5056.32,3762.61,-1085.79,
Arae,Zarzosa,"March 30, 1945",43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,Zarzosa*Arae!987,1042,2042,3042,4294.64,123.79,-1386.5,
Daniel,C,"June 3, 1978",81,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,C*Daniel!987,1080,2080,3080,293.11,1914.52,-1028.24,
Pinocchio,Disney,"June 29, 2003",30,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Pinocchio!987,1029,2029,3029,50.2,3018.8,-1143.21,
Daniel,W,"February 25, 1998",100,"500 W. University Ave, El Paso, TX 79968",(915) 747-5063,W*Daniel!987,1099,2099,3099,14.93,31.31,-1761.2,
Alberto,Miranda,"February 4, 1960",37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,Miranda*Alberto!987,1036,2036,3036,5753.97,242.43,-1209.59,
Quasimodo,Disney,"February 3, 1953",32,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,Disney*Quasimodo!987,1031,2031,3031,1751.79,3280.58,-1624.16,
1,1,1,104,1,1,1,1103,2103,-1,11.0,100.0,1.0,
