Savings Account Number,Last Name,Identification Number,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Password,Credit Starting Balance,Address,First Name,Email,Credit Max
2088,K,89,"December 4, 1939",1088,3088,(915) 747-5052,314.92,1859.88,K*Daniel!987,-843.19,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielK@disney.com,9729
2066,Melendez Lujan,67,"April 7, 1989",1066,3066,(915) 747-5030,1153.13,380.42,Melendez Lujan*Manuel!987,-1218.86,"500 W. University Ave, El Paso, TX 79968",Manuel,ManuelMelendez Lujan@disney.com,7529
2049,Garcia,50,"March 11, 2008",1049,3049,(915) 747-5013,792.51,228.75,Garcia*Eduardo!987,-1529.15,"500 W. University Ave, El Paso, TX 79968",Eduardo,EduardoGarcia@disney.com,3725
2010,Disney,11,"December 24, 1942",1010,3010,(714) 781-4636,1494.73,1753.45,Disney*Aladdin!987,-1674.03,"1313 Disneyland Dr, Anaheim, CA 92802",Aladdin,AladdinDisney@disney.com,8978
2026,Hook,27,"September 28, 1965",1026,3026,(714) 781-4636,384.12,4877.80,Hook*Captaiin!987,-1120.05,"1313 Disneyland Dr, Anaheim, CA 92802",Captaiin,CaptaiinHook@disney.com,7653
2071,Evans,72,"September 21, 2019",1071,3071,(915) 747-5035,193.22,561.48,Evans*Robert!987,-533.05,"500 W. University Ave, El Paso, TX 79968",Robert,RobertEvans@disney.com,8699
2006,Disney,7,"July 3, 1959",1006,3006,(714) 781-4636,643.58,1517.17,Disney*Dale!987,-1423.85,"1313 Disneyland Dr, Anaheim, CA 92802",Dale,DaleDisney@disney.com,9852
2015,Disney,16,"December 21, 1938",1015,3015,(714) 781-4636,1011.74,4099.04,Disney*Woody!987,-1509.11,"1313 Disneyland Dr, Anaheim, CA 92802",Woody,WoodyDisney@disney.com,4018
2027,Disney,28,"April 16, 1995",1027,3027,(714) 781-4636,984.49,4714.49,Disney*Kaa!987,-1224.93,"1313 Disneyland Dr, Anaheim, CA 92802",Kaa,KaaDisney@disney.com,8778
2086,I,87,"March 29, 2019",1086,3086,(915) 747-5050,1914.68,3789.30,I*Daniel!987,-1808.89,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielI@disney.com,7731
2064,Labayen,65,"March 12, 1928",1064,3064,(915) 747-5028,1593.30,1098.51,Labayen*Laurence!987,-282.72,"500 W. University Ave, El Paso, TX 79968",Laurence,LaurenceLabayen@disney.com,4291
2028,Queen,29,"December 14, 1980",1028,3028,(714) 781-4636,932.30,3057.67,Queen*Evil!987,-1393.71,"1313 Disneyland Dr, Anaheim, CA 92802",Evil,EvilQueen@disney.com,9670
2041,Jasso,42,"April 25, 1966",1041,3041,(915) 747-5005,930.92,2407.28,Jasso*Anthony!987,-633.53,"500 W. University Ave, El Paso, TX 79968",Anthony,AnthonyJasso@disney.com,6846
2068,Ornelas-Gutierrez,69,"December 21, 2007",1068,3068,(915) 747-5032,1912.22,283.57,Ornelas-Gutierrez*Mauricio!987,-1581.68,"500 W. University Ave, El Paso, TX 79968",Mauricio,MauricioOrnelas-Gutierrez@disney.com,9568
2044,Cabrera,45,"September 28, 1992",1044,3044,(915) 747-5008,1748.06,4712.84,Cabrera*Cesar!987,-822.20,"500 W. University Ave, El Paso, TX 79968",Cesar,CesarCabrera@disney.com,5278
2065,Castro Jimenez,66,"January 10, 2016",1065,3065,(915) 747-5029,810.11,4041.90,Castro Jimenez*Lidice!987,-1483.20,"500 W. University Ave, El Paso, TX 79968",Lidice,LidiceCastro Jimenez@disney.com,3291
2096,T,97,"March 13, 1942",1096,3096,(915) 747-5060,1620.38,3486.90,T*Daniel!987,-1480.49,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielT@disney.com,5665
2069,Dang,70,"March 8, 1955",1069,3069,(915) 747-5033,711.00,1803.11,Dang*Minh!987,-1779.05,"500 W. University Ave, El Paso, TX 79968",Minh,MinhDang@disney.com,7842
2089,L,90,"March 7, 1937",1089,3089,(915) 747-5053,412.10,1050.31,L*Daniel!987,-1176.41,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielL@disney.com,4513
2095,S,96,"February 15, 1948",1095,3095,(915) 747-5059,1494.77,2744.16,S*Daniel!987,-738.18,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielS@disney.com,8813
2076,Rahad,77,"May 21, 1929",1076,3076,(915) 747-5040,57.92,4231.71,Rahad*Khandoker!987,-607.58,"500 W. University Ave, El Paso, TX 79968",Khandoker,KhandokerRahad@disney.com,9877
2075,Aun,76,"April 18, 1963",1075,3075,(915) 747-5039,1.86,1916.87,Aun*Nathan!987,-782.35,"500 W. University Ave, El Paso, TX 79968",Nathan,NathanAun@disney.com,7684
2013,Disney,14,"January 9, 1952",1013,3013,(714) 781-4636,752.72,4549.18,Disney*Aurora!987,-483.92,"1313 Disneyland Dr, Anaheim, CA 92802",Aurora,AuroraDisney@disney.com,6352
2073,Hernandez,74,"October 18, 1952",1073,3073,(915) 747-5037,105.01,1751.59,Hernandez*Sofia!987,-1916.09,"500 W. University Ave, El Paso, TX 79968",Sofia,SofiaHernandez@disney.com,9192
2040,Cordero,41,"October 24, 1977",1040,3040,(915) 747-5004,1734.25,2250.01,Cordero*Alyssandra!987,-1398.00,"500 W. University Ave, El Paso, TX 79968",Alyssandra,AlyssandraCordero@disney.com,6324
2084,G,85,"April 6, 1983",1084,3084,(915) 747-5048,60.38,687.52,G*Daniel!987,-1489.13,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielG@disney.com,6519
2092,P,93,"July 11, 1962",1092,3092,(915) 747-5056,431.59,3082.60,P*Daniel!987,-108.80,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielP@disney.com,8873
2052,Marin,53,"November 25, 1937",1052,3052,(915) 747-5016,115.57,1846.67,Marin*Federico!987,-1375.09,"500 W. University Ave, El Paso, TX 79968",Federico,FedericoMarin@disney.com,7607
2030,Eric,31,"December 9, 1999",1030,3030,(714) 781-4636,989.43,625.25,Eric*Prince!987,-1957.66,"1313 Disneyland Dr, Anaheim, CA 92802",Prince,PrinceEric@disney.com,6145
2081,D,82,"May 4, 2005",1081,3081,(915) 747-5045,1834.01,1383.53,D*Daniel!987,-797.57,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielD@disney.com,7278
2017,Aladdin,18,"August 3, 1963",1017,3017,(714) 781-4636,977.92,1419.37,Aladdin*Jafar!987,-1070.89,"1313 Disneyland Dr, Anaheim, CA 92802",Jafar,JafarAladdin@disney.com,9637
2002,Mouse,3,"February 10, 2004",1002,3002,(714) 781-4636,1573.30,2444.12,Mouse*Minnie!987,-1171.08,"1313 Disneyland Dr, Anaheim, CA 92802",Minnie,MinnieMouse@disney.com,9167
2063,Blanco,64,"July 12, 2002",1063,3063,(915) 747-5027,48.94,3320.44,Blanco*Laura!987,-1855.39,"500 W. University Ave, El Paso, TX 79968",Laura,LauraBlanco@disney.com,6069
2074,Torres,75,"April 28, 1931",1074,3074,(915) 747-5038,403.95,1408.53,Torres*Yulianna!987,-1488.60,"500 W. University Ave, El Paso, TX 79968",Yulianna,YuliannaTorres@disney.com,4617
2021,De Vil,22,"December 1, 1969",1021,3021,(714) 781-4636,1103.18,3412.32,De Vil*Cruella!987,-1126.21,"1313 Disneyland Dr, Anaheim, CA 92802",Cruella,CruellaDe Vil@disney.com,5790
2019,Disney,20,"April 13, 1940",1019,3019,(714) 781-4636,1718.17,4477.40,Disney*Beast!987,-415.35,"1313 Disneyland Dr, Anaheim, CA 92802",Beast,BeastDisney@disney.com,4793
2035,Disney,36,"January 27, 2006",1035,3035,(714) 781-4636,1684.39,4674.94,Disney*Stitch!987,-70.22,"1313 Disneyland Dr, Anaheim, CA 92802",Stitch,StitchDisney@disney.com,3497
2023,King,24,"July 2, 1955",1023,3023,(714) 781-4636,1372.61,4909.17,King*Simba!987,-745.46,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,SimbaKing@disney.com,3306
2090,N,91,"October 11, 1985",1090,3090,(915) 747-5054,934.78,46.50,N*Daniel!987,-430.92,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielN@disney.com,6437
2005,Disney,6,"May 31, 1991",1005,3005,(714) 781-4636,414.84,4840.72,Disney*Chip!987,-1492.60,"1313 Disneyland Dr, Anaheim, CA 92802",Chip,ChipDisney@disney.com,8251
2058,Rodriguez Ortega,59,"January 8, 1976",1058,3058,(915) 747-5022,1558.68,2613.96,Rodriguez Ortega*Jose!987,-395.54,"500 W. University Ave, El Paso, TX 79968",Jose,JoseRodriguez Ortega@disney.com,8866
2085,H,86,"November 23, 1983",1085,3085,(915) 747-5049,631.44,1350.97,H*Daniel!987,-1452.33,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielH@disney.com,9945
2047,Baptiste,48,"January 28, 2012",1047,3047,(915) 747-5011,129.10,2172.75,Baptiste*David!987,-170.16,"500 W. University Ave, El Paso, TX 79968",David,DavidBaptiste@disney.com,8900
2046,Bencomo,47,"April 14, 2006",1046,3046,(915) 747-5010,1754.01,4605.41,Bencomo*Dafne!987,-1635.14,"500 W. University Ave, El Paso, TX 79968",Dafne,DafneBencomo@disney.com,5508
2059,Medina - Sandoval,60,"September 14, 1939",1059,3059,(915) 747-5023,1496.69,238.05,Medina - Sandoval*Joseph!987,-34.75,"500 W. University Ave, El Paso, TX 79968",Joseph,JosephMedina - Sandoval@disney.com,9114
2093,Q,94,"November 10, 1963",1093,3093,(915) 747-5057,1410.88,1409.10,Q*Daniel!987,-1948.78,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielQ@disney.com,6757
2098,V,99,"November 30, 1936",1098,3098,(915) 747-5062,1523.98,880.85,V*Daniel!987,-985.38,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielV@disney.com,3329
2016,Lightyear,17,"March 30, 1936",1016,3016,(714) 781-4636,934.58,2493.83,Lightyear*Buzz!987,-76.32,"1313 Disneyland Dr, Anaheim, CA 92802",Buzz,BuzzLightyear@disney.com,7461
2022,Lion,23,"February 21, 1986",1022,3022,(714) 781-4636,1884.73,3826.49,Lion*Scar!987,-346.60,"1313 Disneyland Dr, Anaheim, CA 92802",Scar,ScarLion@disney.com,6914
2034,Disney,35,"November 29, 1973",1034,3034,(714) 781-4636,1279.22,224.81,Disney*Lilo!987,-1662.06,"1313 Disneyland Dr, Anaheim, CA 92802",Lilo,LiloDisney@disney.com,5453
2051,Ramos,52,"April 19, 2008",1051,3051,(915) 747-5015,1024.78,2408.37,Ramos*Estevan!987,-1000.93,"500 W. University Ave, El Paso, TX 79968",Estevan,EstevanRamos@disney.com,3554
2033,Disney,34,"December 10, 1964",1033,3033,(714) 781-4636,545.33,1239.74,Disney*Mulan!987,-1608.84,"1313 Disneyland Dr, Anaheim, CA 92802",Mulan,MulanDisney@disney.com,5584
2060,Gutierrez,61,"August 13, 1955",1060,3060,(915) 747-5024,1419.06,378.24,Gutierrez*Juan!987,-482.98,"500 W. University Ave, El Paso, TX 79968",Juan,JuanGutierrez@disney.com,5158
2062,Garcia,63,"June 5, 1929",1062,3062,(915) 747-5026,394.49,1663.42,Garcia*Judith!987,-130.60,"500 W. University Ave, El Paso, TX 79968",Judith,JudithGarcia@disney.com,8388
2011,Disney,12,"May 11, 1971",1011,3011,(714) 781-4636,1262.41,2469.88,Disney*Simba!987,-332.46,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,SimbaDisney@disney.com,4246
2009,Disney,10,"January 29, 1961",1009,3009,(714) 781-4636,672.31,1103.89,Disney*Jasmine!987,-1494.13,"1313 Disneyland Dr, Anaheim, CA 92802",Jasmine,JasmineDisney@disney.com,5813
2007,Disney,8,"August 11, 1999",1007,3007,(714) 781-4636,1535.33,4493.21,Disney*Cinderella!987,-1921.81,"1313 Disneyland Dr, Anaheim, CA 92802",Cinderella,CinderellaDisney@disney.com,6177
2057,Landin,58,"July 2, 1936",1057,3057,(915) 747-5021,1774.12,1337.82,Landin*Isaiah!987,-1920.67,"500 W. University Ave, El Paso, TX 79968",Isaiah,IsaiahLandin@disney.com,5513
2004,Disney,5,"February 14, 1962",1004,3004,(714) 781-4636,1947.91,799.49,Disney*Pluto!987,-1244.77,"1313 Disneyland Dr, Anaheim, CA 92802",Pluto,PlutoDisney@disney.com,7005
2067,Ruvalcaba,68,"June 7, 1948",1067,3067,(915) 747-5031,1723.37,1201.74,Ruvalcaba*Manuel!987,-610.95,"500 W. University Ave, El Paso, TX 79968",Manuel,ManuelRuvalcaba@disney.com,6123
2100,X,101,"August 16, 1951",1100,3100,(915) 747-5064,705.77,2155.03,X*Daniel!987,-1356.79,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielX@disney.com,7273
2082,E,83,"September 12, 2005",1082,3082,(915) 747-5046,1389.55,2672.62,E*Daniel!987,-1008.78,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielE@disney.com,4747
2054,Orea,55,"April 11, 2011",1054,3054,(915) 747-5018,603.34,4643.10,Orea*Gildardo!987,-727.80,"500 W. University Ave, El Paso, TX 79968",Gildardo,GildardoOrea@disney.com,8252
2039,Rodriguez,40,"December 19, 1941",1039,3039,(915) 747-5003,173.72,3749.19,Rodriguez*Alfredo!987,-107.79,"500 W. University Ave, El Paso, TX 79968",Alfredo,AlfredoRodriguez@disney.com,9648
2083,F,84,"July 17, 1969",1083,3083,(915) 747-5047,642.22,3157.65,F*Daniel!987,-335.30,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielF@disney.com,8911
2025,Khan,26,"February 12, 1968",1025,3025,(714) 781-4636,1627.51,1063.89,Khan*Shere!987,-36.73,"1313 Disneyland Dr, Anaheim, CA 92802",Shere,ShereKhan@disney.com,9184
2045,Reyes,46,"March 1, 1935",1045,3045,(915) 747-5009,470.81,2537.18,Reyes*Christopher!987,-1444.25,"500 W. University Ave, El Paso, TX 79968",Christopher,ChristopherReyes@disney.com,4904
2043,Bustamante,44,"January 25, 1976",1043,3043,(915) 747-5007,1770.68,1280.27,Bustamante*Brandon!987,-1917.73,"500 W. University Ave, El Paso, TX 79968",Brandon,BrandonBustamante@disney.com,3774
2070,Decena,71,"December 8, 2000",1070,3070,(915) 747-5034,19.03,2283.65,Decena*Oscar!987,-1691.48,"500 W. University Ave, El Paso, TX 79968",Oscar,OscarDecena@disney.com,3397
2061,Rabelo,62,"February 11, 1932",1061,3061,(915) 747-5025,1574.33,2557.62,Rabelo*Juan!987,-869.24,"500 W. University Ave, El Paso, TX 79968",Juan,JuanRabelo@disney.com,3773
2003,Disney,4,"November 8, 1942",1003,3003,(714) 781-4636,1330.25,4220.35,Disney*Goofy!987,-1113.72,"1313 Disneyland Dr, Anaheim, CA 92802",Goofy,GoofyDisney@disney.com,7739
2091,O,92,"November 23, 1964",1091,3091,(915) 747-5055,450.69,1340.01,O*Daniel!987,-1643.71,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielO@disney.com,3373
2050,Montes,51,"September 2, 1954",1050,3050,(915) 747-5014,125.87,734.34,Montes*Ervey!987,-492.33,"500 W. University Ave, El Paso, TX 79968",Ervey,ErveyMontes@disney.com,9077
2072,Carrasco,73,"March 1, 1941",1072,3072,(915) 747-5036,1029.33,334.38,Carrasco*Roberto!987,-1270.87,"500 W. University Ave, El Paso, TX 79968",Roberto,RobertoCarrasco@disney.com,9474
2020,Disney,21,"July 25, 2018",1020,3020,(714) 781-4636,1541.71,1185.47,Disney*Belle!987,-25.98,"1313 Disneyland Dr, Anaheim, CA 92802",Belle,BelleDisney@disney.com,7825
2037,Avila,38,"November 9, 1977",1037,3037,(915) 747-5001,1613.23,1260.59,Avila*Alex!987,-84.16,"500 W. University Ave, El Paso, TX 79968",Alex,AlexAvila@disney.com,7320
2024,Disney,25,"January 20, 1928",1024,3024,(714) 781-4636,1890.74,3737.23,Disney*Gaston!987,-715.12,"1313 Disneyland Dr, Anaheim, CA 92802",Gaston,GastonDisney@disney.com,3556
2048,Aguirre,49,"October 3, 2002",1048,3048,(915) 747-5012,421.63,2698.03,Aguirre*Derek!987,-289.25,"500 W. University Ave, El Paso, TX 79968",Derek,DerekAguirre@disney.com,3965
2008,Disney,9,"January 27, 2017",1008,3008,(714) 781-4636,1872.71,1645.54,Disney*Ariel!987,-29.68,"1313 Disneyland Dr, Anaheim, CA 92802",Ariel,ArielDisney@disney.com,8275
2097,U,98,"April 30, 1995",1097,3097,(915) 747-5061,1994.43,2413.41,U*Daniel!987,-1465.75,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielU@disney.com,4037
2094,R,95,"August 24, 1940",1094,3094,(915) 747-5058,1576.71,3974.81,R*Daniel!987,-1628.73,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielR@disney.com,8081
2101,Y,102,"February 5, 1971",1101,3101,(915) 747-5065,1837.23,940.67,Y*Daniel!987,-629.01,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielY@disney.com,4458
2000,Mouse,1,"October 8, 1971",1000,3000,(714) 781-4636,1483.45,4773.37,Mouse*Mickey!987,-1501.49,"1313 Disneyland Dr, Anaheim, CA 92802",Mickey,MickeyMouse@disney.com,9897
2053,Baechle,54,"March 29, 1971",1053,3053,(915) 747-5017,344.91,4232.80,Baechle*Gavin!987,-85.83,"500 W. University Ave, El Paso, TX 79968",Gavin,GavinBaechle@disney.com,4475
2038,Beltran,39,"December 15, 1996",1038,3038,(915) 747-5002,1040.69,3762.61,Beltran*Alfonso!987,-1085.79,"500 W. University Ave, El Paso, TX 79968",Alfonso,AlfonsoBeltran@disney.com,6910
2042,Zarzosa,43,"March 30, 1945",1042,3042,(915) 747-5006,265.83,123.79,Zarzosa*Arae!987,-1386.50,"500 W. University Ave, El Paso, TX 79968",Arae,AraeZarzosa@disney.com,7298
2080,C,81,"June 3, 1978",1080,3080,(915) 747-5044,293.11,1914.52,C*Daniel!987,-1028.24,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielC@disney.com,3358
2029,Disney,30,"June 29, 2003",1029,3029,(714) 781-4636,84.31,3018.80,Disney*Pinocchio!987,-1143.21,"1313 Disneyland Dr, Anaheim, CA 92802",Pinocchio,PinocchioDisney@disney.com,9226
2099,W,100,"February 25, 1998",1099,3099,(915) 747-5063,14.93,31.31,W*Daniel!987,-1761.20,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielW@disney.com,8817
2036,Miranda,37,"February 4, 1960",1036,3036,(915) 747-5000,1705.51,242.43,Miranda*Alberto!987,-1209.59,"500 W. University Ave, El Paso, TX 79968",Alberto,AlbertoMiranda@disney.com,9838
2031,Disney,32,"February 3, 1953",1031,3031,(714) 781-4636,1777.37,3280.58,Disney*Quasimodo!987,-1624.16,"1313 Disneyland Dr, Anaheim, CA 92802",Quasimodo,QuasimodoDisney@disney.com,6069
