First Name,Last Name,Date Of Birth,Identification Number,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Updated Balance,Savings Updated Balance,Credit Updated Balance
Woody,Disney,2-Jul-90,000-00-0016,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,2015,3015,1486.52,3904.7,-1610.58
Buzz,Lightyear,5-Jun-03,000-00-0017,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,2016,3016,1969.33,3035.22,-481.38
Jafar,Aladdin,11-Dec-95,000-00-0018,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,2017,3017,803.62,3034.57,-1822.07
Ursela,Mermaid,9-Jan-37,000-00-0019,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,2018,3018,855.38,2398.88,-250.54
Beast,Disney,29-Aug-69,000-00-0020,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,2019,3019,682.79,168.04,-128.34
Belle,Disney,6-Sep-28,000-00-0021,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,2020,3020,403.9,1412.94,-391.33
Cruella,De Vil,22-Sep-96,000-00-0022,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,2021,3021,966.03,4079.2,-69.18
Scar,Lion,18-Jun-17,000-00-0023,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,2022,3022,344.68,3510.62,-311.93
Simba,King,13-Mar-18,000-00-0024,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,2023,3023,1624.91,3397.5,-211.95
Gaston,Disney,11-Jul-43,000-00-0025,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,2024,3024,1181.1,414.81,-1403.22
Shere,Khan,15-Sep-62,000-00-0026,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,2025,3025,1972.54,3912.97,-714.46
Captaiin,Hook,6-Dec-71,000-00-0027,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,2026,3026,997.05,1425.77,-1869.37
Kaa,Disney,10-Nov-61,000-00-0028,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,2027,3027,1084.34,4665.51,-1979.55
Evil,Queen,18-Feb-81,000-00-0029,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,2028,3028,955.49,4205.99,-1858.65
Pinocchio,Disney,3-Jul-41,000-00-0030,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,2029,3029,1.00E+19,5.13E+07,-92.12
Prince,Eric,28-Sep-53,000-00-0031,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,2030,3030,114.21,1978.53,-1016.1
Quasimodo,Disney,4-Nov-89,000-00-0032,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,2031,3031,1206.59,4790.61,-1975.11
Hercules,Disney,14-Feb-66,000-00-0033,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,2032,3032,668.7,1602.05,-1767.56
Mulan,Disney,6-Jul-66,000-00-0034,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,2033,3033,1096.88,285.32,-1441.93
Lilo,Disney,21-Sep-69,000-00-0035,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,2034,3034,1844.34,146.14,-1790.21
Stitch,Disney,20-Jan-54,000-00-0036,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,2035,3035,341.33,1858.86,-35.2
